numbers,first,prob_1,second,prob_2,third,prob_3,fourth,prob_4,fifth,prob_5,sixth,prob_6
1,85,0.082684825,,0,,0,,0,,0,48,0.046692607
2,93,0.090466926,6,0.005836576,,0,,0,,0,38,0.036964981
3,77,0.074902724,9,0.008754864,,0,,0,,0,47,0.045719844
4,70,0.068093385,16,0.015564202,2,0.001945525,,0,,0,40,0.038910506
5,44,0.042801556,24,0.023346304,2,0.001945525,,0,,0,38,0.036964981
6,63,0.061284047,23,0.022373541,1,0.000972763,,0,,0,46,0.044747082
7,47,0.045719844,21,0.020428016,2,0.001945525,,0,,0,49,0.04766537
8,43,0.041828794,20,0.019455253,5,0.004863813,2,0.001945525,,0,42,0.040856031
9,46,0.044747082,25,0.024319066,1,0.000972763,,0,,0,56,0.054474708
10,54,0.052529183,35,0.034046693,10,0.009727626,,0,,0,44,0.042801556
11,51,0.049610895,36,0.035019455,8,0.007782101,1,0.000972763,,0,47,0.045719844
12,28,0.027237354,39,0.037937743,17,0.016536965,1,0.000972763,,0,43,0.041828794
13,23,0.022373541,34,0.03307393,17,0.016536965,,0,,0,45,0.043774319
14,33,0.032101167,35,0.034046693,14,0.013618677,1,0.000972763,1,0.000972763,43,0.041828794
15,17,0.016536965,42,0.040856031,12,0.011673152,2,0.001945525,,0,53,0.05155642
16,26,0.025291829,37,0.035992218,13,0.012645914,4,0.003891051,,0,13,0.012645914
17,26,0.025291829,38,0.036964981,26,0.025291829,2,0.001945525,,0,11,0.010700389
18,16,0.015564202,31,0.030155642,20,0.019455253,10,0.009727626,1,0.000972763,12,0.011673152
19,14,0.013618677,26,0.025291829,23,0.022373541,9,0.008754864,,0,20,0.019455253
20,27,0.026264591,35,0.034046693,26,0.025291829,13,0.012645914,,0,19,0.01848249
21,12,0.011673152,24,0.023346304,31,0.030155642,6,0.005836576,3,0.002918288,12,0.011673152
22,15,0.01459144,34,0.03307393,17,0.016536965,11,0.010700389,,0,10,0.009727626
23,13,0.012645914,33,0.032101167,22,0.021400778,7,0.006809339,2,0.001945525,17,0.016536965
24,11,0.010700389,26,0.025291829,33,0.032101167,7,0.006809339,2,0.001945525,14,0.013618677
25,21,0.020428016,18,0.017509728,25,0.024319066,13,0.012645914,,0,15,0.01459144
26,6,0.005836576,23,0.022373541,31,0.030155642,15,0.01459144,,0,11,0.010700389
27,6,0.005836576,26,0.025291829,28,0.027237354,8,0.007782101,7,0.006809339,9,0.008754864
28,15,0.01459144,30,0.029182879,31,0.030155642,19,0.01848249,2,0.001945525,10,0.009727626
29,5,0.004863813,32,0.031128405,26,0.025291829,17,0.016536965,5,0.004863813,9,0.008754864
30,4,0.003891051,23,0.022373541,34,0.03307393,11,0.010700389,6,0.005836576,7,0.006809339
31,9,0.008754864,28,0.027237354,37,0.035992218,20,0.019455253,6,0.005836576,12,0.011673152
32,4,0.003891051,18,0.017509728,23,0.022373541,21,0.020428016,8,0.007782101,6,0.005836576
33,4,0.003891051,19,0.01848249,32,0.031128405,23,0.022373541,3,0.002918288,10,0.009727626
34,3,0.002918288,18,0.017509728,31,0.030155642,20,0.019455253,6,0.005836576,12,0.011673152
35,1,0.000972763,15,0.01459144,28,0.027237354,27,0.026264591,9,0.008754864,8,0.007782101
36,3,0.002918288,6,0.005836576,21,0.020428016,33,0.032101167,11,0.010700389,16,0.015564202
37,5,0.004863813,15,0.01459144,17,0.016536965,29,0.028210117,5,0.004863813,7,0.006809339
38,,0,16,0.015564202,21,0.020428016,32,0.031128405,16,0.015564202,12,0.011673152
39,2,0.001945525,10,0.009727626,32,0.031128405,23,0.022373541,14,0.013618677,10,0.009727626
40,1,0.000972763,7,0.006809339,20,0.019455253,26,0.025291829,15,0.01459144,9,0.008754864
41,2,0.001945525,9,0.008754864,28,0.027237354,27,0.026264591,22,0.021400778,10,0.009727626
42,,0,10,0.009727626,22,0.021400778,31,0.030155642,12,0.011673152,12,0.011673152
43,1,0.000972763,9,0.008754864,14,0.013618677,22,0.021400778,20,0.019455253,6,0.005836576
44,1,0.000972763,9,0.008754864,20,0.019455253,24,0.023346304,19,0.01848249,10,0.009727626
45,,0,10,0.009727626,26,0.025291829,29,0.028210117,17,0.016536965,10,0.009727626
46,1,0.000972763,4,0.003891051,20,0.019455253,38,0.036964981,26,0.025291829,10,0.009727626
47,,0,1,0.000972763,12,0.011673152,37,0.035992218,23,0.022373541,,0
48,,0,3,0.002918288,12,0.011673152,34,0.03307393,35,0.034046693,,0
49,,0,3,0.002918288,13,0.012645914,35,0.034046693,33,0.032101167,,0
50,,0,5,0.004863813,7,0.006809339,28,0.027237354,34,0.03307393,,0
51,,0,3,0.002918288,18,0.017509728,30,0.029182879,36,0.035019455,,0
52,,0,,0,10,0.009727626,20,0.019455253,34,0.03307393,,0
53,,0,1,0.000972763,15,0.01459144,18,0.017509728,50,0.048638132,,0
54,,0,3,0.002918288,10,0.009727626,26,0.025291829,32,0.031128405,,0
55,,0,,0,8,0.007782101,8,0.007782101,35,0.034046693,,0
56,,0,1,0.000972763,4,0.003891051,24,0.023346304,49,0.04766537,,0
57,,0,,0,6,0.005836576,12,0.011673152,18,0.017509728,,0
58,,0,2,0.001945525,6,0.005836576,19,0.01848249,17,0.016536965,,0
59,,0,,0,6,0.005836576,6,0.005836576,25,0.024319066,,0
60,,0,,0,4,0.003891051,14,0.013618677,17,0.016536965,,0
61,,0,1,0.000972763,8,0.007782101,18,0.017509728,9,0.008754864,,0
62,,0,,0,7,0.006809339,21,0.020428016,19,0.01848249,,0
63,,0,,0,6,0.005836576,11,0.010700389,18,0.017509728,,0
64,,0,1,0.000972763,2,0.001945525,13,0.012645914,19,0.01848249,,0
65,,0,,0,1,0.000972763,17,0.016536965,13,0.012645914,,0
66,,0,,0,1,0.000972763,13,0.012645914,29,0.028210117,,0
67,,0,,0,1,0.000972763,4,0.003891051,20,0.019455253,,0
68,,0,,0,2,0.001945525,12,0.011673152,26,0.025291829,,0
69,,0,,0,,0,8,0.007782101,32,0.031128405,,0
70,,0,,0,,0,6,0.005836576,36,0.035019455,,0
71,,0,,0,,0,4,0.003891051,20,0.019455253,,0
72,,0,,0,,0,1,0.000972763,23,0.022373541,,0
73,,0,,0,,0,2,0.001945525,31,0.030155642,,0
74,,0,,0,,0,3,0.002918288,30,0.029182879,,0
75,,0,,0,,0,,0,27,0.026264591,,0
